id,"error","correct"
2030,"immuntable","immutable"
2031,"impass","impasse"
2032,"impedence","impedance"
2033,"imperic","empiric"
2034,"imperical","empiric, empirical, imperial"
2035,"imperically","empirically"
2036,"impliment","implement"
2037,"imporatnt","important"
2038,"importan","important"
2039,"impressario","impresario"
2040,"improvision","improvisation"
2041,"improvment","improvement"
2042,"in leiu","in lieu"
2043,"in memorium","in memoriam"
2044,"inaccessable","inaccessible"
2045,"inact","enact, intact"
2046,"inaddition","in addition"
2047,"inadvertant","inadvertent"
2048,"inappropiate","inappropriate"
2049,"inapropriate","inappropriate"
2050,"inate","innate"
2051,"inaugures","inaugurates"
2052,"inbalance","imbalance"
2053,"inbalanced","imbalanced"
2054,"incase","encase [verb], in case, incase [obsolete variant of t"
2055,"incased","obsolete variant of encased"
2056,"Inchon","Incheon"
2057,"inchs","inches [plural]"
2058,"incidential","incidental"
2059,"incidently","incidentally"
2060,"incinuate","insinuate"
2061,"inclose","enclose"
2062,"inclosed","enclosed"
2063,"includeing","including"
2064,"incompatabilities","incompatibilities"
2065,"incompatability","incompatibility"
2066,"incompatable","incompatible"
2067,"incompatablity","incompatibility"
2068,"incompatablities","incompatibilities"
2069,"incompatiblity","incompatibility"
2070,"incompatiblities","incompatibilities"
2071,"incompetance","incompetence"
2072,"incompetant","incompetent"
2073,"inconsistancy","inconsistency"
2074,"inconsistant","inconsistent"
2075,"incorperate","incorporate"
2076,"incorperation","incorporation"
2077,"incorruptable","incorruptible"
2078,"increadible","incredible"
2079,"incredable","incredible"
2080,"increse","increase"
2081,"inctroduce","introduce"
2082,"inctroduced","introduced"
2083,"incuding","including"
2084,"incumbancy","incumbency"
2085,"incumbant","incumbent"
2086,"incunabla","incunabula"
2087,"indefinately","indefinitely"
2088,"indefinitly","indefinitely"
2089,"indentification","identification"
2090,"indentified","identified"
2091,"indentifying","identifying"
2092,"indepedantly","independently"
2093,"indepedence","independence"
2094,"indepedent","independent"
2095,"independance","independence"
2096,"independant","independent"
2097,"independantly","independently"
2098,"independece","independence"
2099,"independient","independent"
2100,"indipendent","independent"
2101,"indipendently","independently"
2102,"indispensible","indispensable"
2103,"indisputible","indisputable"
2104,"indisputibly","indisputably"
2105,"indite","indict"
2106,"indpendent","independent"
2107,"indpendently","independently"
2108,"indulgue","indulge"
2109,"indurance","endurance"
2110,"indure","endure"
2111,"indutrial","industrial"
2112,"inevatible","inevitable"
2113,"inevitible","inevitable"
2114,"infact","in fact"
2115,"infanty","infantry"
2116,"infectuous","infectious"
2117,"infilitrate","infiltrate"
2118,"infinate","infinite"
2119,"infinit","infinite"
2120,"inflammed","inflamed"
2121,"inflitrate","infiltrate"
2122,"infomation","information"
2123,"inforamtion","information"
2124,"inflamation","inflammation"
2125,"influencial","influential"
2126,"influental","influential"
2127,"influented","influenced"
2128,"infomation","information"
2129,"infromation","information"
2130,"infront","in front"
2131,"ingreediants","ingredients"
2132,"inhabitate","inhabit"
2133,"inheret","inherit"
2134,"inheritage","heritage, inheritance"
2135,"inherrent","inherent"
2136,"inicial","initial"
2137,"iniciate","initiate"
2138,"inital","initial"
2139,"initate","initiate"
2140,"initation","initiation"
2141,"initative","initiative"
2142,"initator","initiator"
2143,"initialise","initialize"
2144,"initialy","initially"
2145,"initiatve","initiative"
2146,"inititive","initiative"
2147,"injuiry","injury"
2148,"injuried","injured, injuries"
2149,"injurys","injuries"
2150,"inlcude","include"
2151,"inlude","include"
2152,"inmigrant","immigrant"
2153,"inmigrants","immigrants"
2154,"innundate","inundate"
2155,"innundated","inundated"
2156,"innundation","inundation"
2157,"inocence","innocence"
2158,"inot","into"
2159,"inovation","innovation"
2160,"inovative","innovative"
2161,"inpact","impact"
2162,"inpeach","impeach"
2163,"inpolite","impolite"
2164,"inpose","impose"
2165,"inprisonment","imprisonment"
2166,"inpsired","inspired"
2167,"inputted","input"
2168,"inquierer","inquirer"
2169,"inroll","enroll"
2170,"inseperable","inseparable"
2171,"insident","incident"
2172,"insistance","insistence"
2173,"insistant","insistent"
2174,"insitution","institution"
2175,"insitutions","institutions"
2176,"insoluable","insoluble"
2177,"insperation","inspiration"
2178,"inspite","in spite, inspire"
2179,"instade","instead"
2180,"instal","install"
2181,"instalation","installation"
2182,"instatance","instance"
2183,"instil","instill"
2184,"instilation","installation, instillation"
2185,"instructer","instructor"
2186,"insue","ensue"
2187,"insufficent","insufficient"
2188,"insufficently","insufficiently"
2189,"insurence","insurance"
2190,"int he","in the"
2191,"intefere","interfere"
2192,"intelectual","intellectual"
2193,"inteligence","intelligence"
2194,"inteligent","intelligent"
2195,"interbread","interbreed, interbred"
2196,"interchangable","interchangeable"
2197,"interchangably","interchangeably"
2198,"intered","interred, interned"
2199,"interelated","interrelated"
2200,"interfear","interfere"
2201,"interfearance","interference"
2202,"interfearing","interfering"
2203,"interferance","interference"
2204,"intergral","integral"
2205,"intergrate","integrate"
2206,"intergrated","integrated"
2207,"intergration","integration"
2208,"intermitent","intermittent"
2209,"intermittant","intermittent"
2210,"intermural","intramural"
2211,"internation","international"
2212,"internment","interment [burial], internment"
2213,"interor","interior"
2214,"interpet","interpret"
2215,"interpetation","interpretation"
2216,"interpretate","interpret"
2217,"interrugum","interregnum"
2218,"interruptable","interruptible"
2219,"interseted","interested"
2220,"interst","interest"
2221,"intersted","interested"
2222,"intertaining","entertaining"
2223,"intertube","inner tube"
2224,"interupt","interrupt"
2225,"interupted","interrupted"
2226,"interuption","interruption"
2227,"inthe","in the"
2228,"intial","initial"
2229,"intially","initially"
2230,"intiative","initiative"
2231,"intice","entice"
2232,"intital","initial"
2233,"intitial","initial"
2234,"intregal","integral"
2235,"intrest","interest"
2236,"intrical","integral"
2237,"introduct","induct, introduce"
2238,"intruction","instruction"
2239,"intrust","entrust"
2240,"inturrupt","interrupt"
2241,"intutive","intuitive"
2242,"intutively","intuitively"
2243,"inuendo","innuendo"
2244,"inumerable","enumerable, innumerable"
2245,"invarience","invariance"
2246,"inventer","inventor"
2247,"invertibrate","invertebrate"
2248,"invester","investor"
2249,"involvment","involvement"
2250,"inwhich","in which"
2251,"irelevent","irrelevant"
2252,"iresistable","irresistible"
2253,"iresistably","irresistibly"
2254,"iresistible","irresistible"
2255,"iresistibly","irresistibly"
2256,"iritable","irritable"
2257,"iritate","irritate"
2258,"ironical","ironic"
2259,"ironicaly","ironically"
2260,"ironicly","ironically"
2261,"irregardless","regardless"
2262,"irrelavent","irrelevant"
2263,"irrelevent","irrelevant"
2264,"irresistable","irresistible"
2265,"irresistably","irresistibly"
2266,"irrevelant","irrelevant"
2267,"irreverant","irreverent"
2268,"is stil","is still"
2269,"is'nt	","	is not, isn't	"
2270,"isnt	","	is not, isn't	"
2271,"Israelies","Israelis"
2272,"Israely","Israeli"
2273,"Isreal","Israel"
2274,"Isreali","Israeli"
2275,"Isrealite","Israelite"
2276,"itemise","itemize"
2277,"itenerant","itinerant"
2278,"itinerate","itinerant [adjective], itinerate [verb]"
2279,"its'	","	it's, its	"
2280,"its's	","	it's, its	"
2281,"itsself","itself"
2282,"iwll","will"
2283,"iwth","with"
2284,"Japaneese","Japanese"
2285,"Japanes","Japanese"
2286,"jeapardy","jeopardy"
2287,"Jersualem","Jerusalem"
2288,"jewler","jeweler"
2289,"jewlery","jewellery [British], jewelry [American]"
2290,"jewlrey","jewellery, jewelry"
2291,"Johanine","Johannine"
2292,"jorunal","journal"
2293,"Jospeh","Joseph"
2294,"journies","journeys"
2295,"journy","journey"
2296,"jstu","just"
2297,"jsut","just"
2298,"Juadaism","Judaism"
2299,"Juadism","Judaism"
2300,"juction","junction"
2301,"judgement","judgment [American]"
2302,"judgment","judgement [British]"
2303,"judical","judicial"
2304,"judisuary","judiciary"
2305,"juniour","junior"
2306,"junoir","junior"
2307,"juntion","junction"
2308,"jurisdication","jurisdiction"
2309,"juvinile","juvenile"
2310,"Kahlil Gibran","Khalil Gibran"
2311,"keep's	","	keeps	"
2312,"keeped","kept"
2313,"kerb","variant of curb"
2314,"keybord","keyboard"
2315,"killogram","kilogram"
2316,"killometer","kilometer"
2317,"killometre","kilometre"
2318,"kiloohm","kilohm"
2319,"kiloohms","kilohms"
2320,"kindergarden","kindergarten"
2321,"kingdon","kingdom"
2322,"kinoscope","kinescope"
2323,"Klu Klux Klan","Ku Klux Klan"
2324,"knifes","knifes [verb]; knives [plural noun]"
2325,"knit-pick","nitpick"
2326,"knitpick","nitpick"
2327,"knive","connive, knife"
2328,"know's	","	knows	"
2329,"knowed","knew, known"
2330,"knowldge","knowledge"
2331,"knowlege","knowledge"
2332,"knowlegeable","knowledgeable"
2333,"knwo","know"
2334,"knwos","knows"
2335,"konw","know"
2336,"konws","knows"
2337,"labatory","lavatory, laboratory"
2338,"labelled","variant of labeled"
2339,"lable","label"
2340,"labled","labeled [American], labelled [British]"
2341,"labour","variant of labor"
2342,"labourious","laborious [even in UK]"
2343,"labratory","laboratory"
2344,"ladden","laden"
2345,"laguage","language"
2346,"laguages","languages"
2347,"lamda","lambda"
2348,"landscapping","landscaping"
2349,"langauge","language"
2350,"languise","languish"
2351,"languistic","linguistic"
2352,"lanscape","landscape"
2353,"lanugage","language"
2354,"largley","largely"
2355,"largly","largely"
2356,"larnyx","larynx"
2357,"lastest","last, latest"
2358,"latancy","latency"
2359,"latchs	","	latch's, latches [plural]	"
2360,"lateley","lately"
2361,"lateraly","laterally"
2362,"latern","lantern"
2363,"latley","lately"
2364,"lattitude","latitude"
2365,"lauch","launch"
2366,"launchs","launches"
2367,"laundrymat","laundromat"
2368,"lavae","larvae"
2369,"layed","laid"
2370,"layed low","lay low"
2371,"lead","lead, led"
2372,"leaded","leaded [gasoline], led"
2373,"leafs	","	leaf's, leaves [plural]	"
2374,"leanr","lean, leaner, learn"
2375,"leant","lent"
2376,"leapt","variant of leaped"
2377,"learnt","variant of learned"
2378,"leasure","leisure"
2379,"leauge","league"
2380,"leaved","left"
2381,"ledgend","legend"
2382,"ledgendary","legendary"
2383,"ledgislate","legislate"
2384,"ledgislative","legislative"
2385,"legalise","variant of legalize"
2386,"legaly","legally"
2387,"legendry","legendary [adjective], legendry [noun]"
2388,"legimate","legitimate"
2389,"legitamate","legitimate"
2390,"legitimise","variant of legitimize"
2391,"legnth","length"
2392,"Lego","LEGO"
2393,"lenght","length"
2394,"lenghty","lengthy"
2395,"lense","lens"
2396,"lenth","length"
2397,"lept","leaped, leapt"
2398,"leran","learn"
2399,"lerans","learns"
2400,"lernt","learned, learnt"
2401,"lessor","less, lesser, lessor"
2402,"leutenant","lieutenant"
2403,"levelled","variant of leveled"
2404,"levetate","levitate"
2405,"levle","level"
2406,"lexion","lexicon"
2407,"liason","liaison"
2408,"libarary","library"
2409,"libary","library"
2410,"libell","libel"
2411,"libguistic","linguistic"
2412,"libguistics","linguistics"
2413,"lible","libel, liable"
2414,"licence","variant of license"
2415,"lief","leaf, lief [beloved], life"
2416,"lieing","lying"
2417,"liek","like"
2418,"liekd","liked"
2419,"liesure","leisure"
2420,"lieutentant","lieutenant"
2421,"likeable","variant of likable"
2422,"likelyhood","likelihood"
2423,"likley","likely"
2424,"lillies","lilies"
2425,"limitate","limit"
2426,"lingustic","linguistic"
2427,"liquour","variant of liquor"
2428,"liscence","licence"
2429,"liscense","license"
2430,"lisence","licence, license"
2431,"lisense","licence, license"
2432,"litature","literature"
2433,"lite","light"
2434,"literaly","literally"
2435,"literture","literature"
2436,"litle","Litle [surname], little"
2437,"litre","variant of liter"
2438,"littel","little"
2439,"litteral","literal"
2440,"liturature","literature"
2441,"liuke","like"
2442,"livley","lively"
2443,"localise","variant of localize"
2444,"localy","locally"
2445,"locamotive","locomotive"
2446,"lockeroom","locker room"
2447,"loction","location"
2448,"locus","locus, locust"
2449,"loev","love"
2450,"logicaly","logically"
2451,"lonelyness","loneliness"
2452,"lonley","lonely"
2453,"lonleyness","loneliness"
2454,"lonly","lonely, only"
2455,"loose","loose [release], lose"
2456,"loosing","loosing [releasing], losing"
2457,"loosley","loosely"
2458,"loosly","loosely"
2459,"Los Angles","Los Angeles"
2460,"losed","lost"
2461,"loseing","losing"
2462,"Lousiana","Louisiana"
2463,"loveable","variant of lovable"
2464,"lovley","lovely"
2465,"lsat","last"
2466,"lubrification","lubrication"
2467,"luckly","luckily"
2468,"luekemia","leukemia"
2469,"lukemia","leukemia"
2470,"lunchs","lunches [plural]"
2471,"lveo","love"
2472,"lvoe","love"
2473,"Lybia","Libya"
2474,"mabye","maybe"
2475,"mackeral","mackerel"
2476,"magent","magnet"
2477,"magentic","magnetic"
2478,"magestic","majestic"
2479,"magicaly","magically"
2480,"magnificient","magnificent"
2481,"magolia","magnolia"
2482,"mainfest","manifest"
2483,"maintainance","maintenance"
2484,"maintainence","maintenance"
2485,"maintance","maintenance"
2486,"maintence","maintenance"
2487,"maintenence","maintenance"
2488,"maintioned","mentioned"
2489,"majiscule","majuscule"
2490,"maked","marked, made"
2491,"makeing","making"
2492,"makse","makes"
2493,"Malcom","Malcolm"
2494,"Maltesian","Maltese"
2495,"mamal","mammal"
2496,"mamalian","mammalian"
2497,"managable","manageable, manageably"
2498,"managament","management"
2499,"managment","management"
2500,"manditory","mandatory"
2501,"mangement","management"
2502,"mangerial","managerial"
2503,"Manhatten","Manhattan"
2504,"manifestion","manifestation"
2505,"manoeuverability","maneuverability [American], manoeuvrability"
2506,"manoeuvre","variant of maneuver"
2507,"manouver","maneuver, manoeuvre"
2508,"manouverability","maneuverability, manoeuvrability"
2509,"manouverable","maneuverable, manoeuvrable"
2510,"manouvers","maneuvers, manoeuvres"
2511,"manuever","maneuver, manoeuvre"
2512,"manuevers","maneuvers, manoeuvres"
2513,"manufature","manufacture"
2514,"manuver","maneuver"
2515,"marchs","marches"
2516,"margain","margin"
2517,"margine","margin"
2518,"maried","married"
2519,"Marixist","Marxist"
2520,"marjority","majority"
2521,"marketting","marketing"
2522,"marrage","marriage"
2523,"marraige","marriage"
2524,"marrige","marriage"
2525,"marryed","married"
2526,"marryied","married"
2527,"marshmellow","marshmallow"
2528,"marvellous","variant of marvelous"
2529,"masonary","masonry"
2530,"masonery","masonry"
2531,"Massachussets","Massachusetts"
2532,"Massachussetts","Massachusetts"
2533,"massmedia","mass media"
2534,"masterbation","masturbation"
2535,"matchs","matches [plural]"
2536,"materialise","variant of materialize"
2537,"mathamatics","mathematics"
2538,"matheticians","mathematicians"
2539,"mathmatician","mathematician"
2540,"mathmatics","mathematics"
2541,"maximalize","maximize"
2542,"maximise","variant of maximize"
2543,"mayorial","mayoral"
2544,"meagre","variant of meager"
2545,"meaned","meant"
2546,"meaningfull","meaningful"
2547,"mear","mare, mere, wear"
2548,"mearly","merely"
2549,"measurment","measurement"
2550,"mecanical","mechanical"
2551,"mechandise","merchandise"
2552,"mechanise","variant of mechanize"
2553,"mechanisim","mechanism"
2554,"medacine","medicine"
2555,"medallist","variant of medalist"
2556,"medeival","mediaeval, medieval"
2557,"medeval","mediaeval, medieval"
2558,"mediciney","mediciny"
2559,"medicore","mediocre"
2560,"medievel","medieval, mediaeval"
2561,"Mediteranean","Mediterranean"
2562,"medival","medieval, mediaeval"
2563,"meerkrat","meerkat"
2564,"meeet","meet"
2565,"megaohm","megohm"
2566,"megaohms","megohms"
2567,"membranaphone","membranophone"
2568,"memeber","member"
2569,"memmory","memory"
2570,"memorise","variant of memorize"
2571,"mens	","	men [plural], men's [possessive]	"
2572,"mens'	","	men's	"
2573,"menstration","menstruation"
2574,"mentaly","mentally"
2575,"mentiones","mentions"
2576,"mentionned","mentioned"
2577,"meranda","veranda, Miranda"
2578,"mercernary","mercenary"
2579,"messanger","messenger"
2580,"metalic","metallic --Mirokado	UTC"
2581,"metalicity","metallicity --Mirokado	UTC"
2582,"metalurgic","metallurgic --Mirokado	UTC"
2583,"metalurgical","metallurgical --Mirokado	UTC"
2584,"metalurgy","metallurgy --Mirokado	UTC"
2585,"metamorphysis","metamorphosis"
2586,"meter","variant of metre"
2587,"meterology","meteorology"
2588,"metorology","meteorology"
2589,"metre","variant of meter"
2590,"Micheal","Michael"
2591,"Michagan","Michigan"
2592,"Michgian","Michigan"
2593,"midwifes","midwives"
2594,"mileau","milieu"
2595,"milennia","millennia"
2596,"milennium","millennium"
2597,"mileu","milieu"
2598,"milion","million"
2599,"millenia","millennia"
2600,"millenium","millennium"
2601,"millepede","millipede"
2602,"millitary","military"
2603,"miltary","military"
2604,"mimickry","mimicry"
2605,"miminal","minimal"
2606,"miminum","minimum"
2607,"minature","miniature"
2608,"minerological","mineralogical, mineralogically --Mirokado	UTC"
2609,"minerologist","mineralogist --Mirokado	UTC"
2610,"minerology","mineralogy --Mirokado	UTC"
2611,"Minesota","Minnesota; Minesota Mine [in Michigan] is correct"
2612,"minimalise","minimise"
2613,"minimalize","minimize"
2614,"minimaly","minimally"
2615,"minimise","variant of minimize"
2616,"miniscule","minuscule"
2617,"ministery","ministry"
2618,"ministy","ministry"
2619,"miniture","miniature"
2620,"minning","mining"
2621,"mintues","minutes"
2622,"miriad","myriad"
2623,"miricle","miracle"
2624,"miscelaneous","miscellaneous"
2625,"miscellanious","miscellaneous"
2626,"miscellanous","miscellaneous"
2627,"mischeivous","mischievous"
2628,"mischevious","mischievous"
2629,"mischievious","mischievous"
2630,"misdameanor","misdemeanor"
2631,"misdameanors","misdemeanors"
2632,"misdemenor","misdemeanor"
2633,"misdemenors","misdemeanors"
2634,"misile","missile"
2635,"misjudgement","variant of misjudgment"
2636,"misorientate","variant of misorient"
2637,"Misouri","Missouri"
2638,"mispell","misspell"
2639,"missen","mizzen"
2640,"Missisipi","Mississippi"
2641,"Missisippi","Mississippi"
2642,"Mississipi","Mississippi"
2643,"missle","missile"
2644,"misstaken","mistaken"
2645,"missunderstand","misunderstand"
2646,"missuse","misuse"
2647,"misterious","mysterious"
2648,"mistery","mystery"
2649,"misteryous","mysterious"
2650,"mixted","mixed"
2651,"mkae","make"
2652,"mkaes","makes"
2653,"mkaing","making"
2654,"mkea","make"
2655,"mobilise","variant of mobilize"
2656,"moccassins","moccasins"
2657,"modelled","variant of modeled"
2658,"modelling","variant of modeling"
2659,"moderatly","moderately"
2660,"modernise","variant of modernize"
2661,"modle","model"
2662,"moent","moment"
2663,"moeny","money"
2664,"moil","mohel"
2665,"mollest","molest"
2666,"mollusc","variant of mollusk"
2667,"momento","memento"
2668,"Monacco","Monaco"
2669,"monastry","monastery"
2670,"monestaries","monasteries"
2671,"monestary","monastery, monetary"
2672,"moniter","monitor"
2673,"monoatomic","monatomic"
2674,"monolite","monolithic"
2675,"Monserrat","Montserrat"
2676,"monthes","months [plural]"
2677,"montypic","monotypic"
2678,"moraly","morally"
2679,"moreso","more so"
2680,"morgage","mortgage"
2681,"Morisette","Morissette"
2682,"Morrisette","Morissette"
2683,"Morrocco","Morocco"
2684,"motiviated","motivated"
2685,"mould","variant of mold"
2686,"mountanous","mountainous"
2687,"moustache","variant of mustache"
2688,"moveable","movable"
2689,"movei","movie"
2690,"moveing","moving"
2691,"mroe","more"
2692,"mucuous","mucous"
2693,"muder","murder"
2694,"muderer","murderer"
2695,"mudering","murdering"
2696,"muncipalities","municipalities"
2697,"muncipality","municipality"
2698,"municipalites","municipalities"
2699,"municipalties","municipalities"
2700,"municipalty","municipality"
2701,"muscels","mussels, muscles"
2702,"musicaly","musically"
2703,"musican","musician"
2704,"mutiple","multiple"
2705,"mutiplication","multiplication"
2706,"mutiply","multiply"
2707,"myraid","myriad"
2708,"mysef","myself"
2709,"mysogynist","misogynist"
2710,"mysogynistic","misogynistic"
2711,"mysogyny","misogyny"
2712,"mysterous","mysterious"
2713,"Mythraic","Mithraic"
2714,"nacent","nascent"
2715,"naivity","naivety"
2716,"Napoleonian","Napoleonic"
2717,"narate","narrate"
2718,"narow","narrow"
2719,"nascient","nascent"
2720,"nationalites","nationalities"
2721,"nationaly","nationally"
2722,"natrual","natural"
2723,"natual","natural"
2724,"natuarlly","naturally"
2725,"naturaly","naturally"
2726,"naturely","naturally"
2727,"naturual","natural"
2728,"naturually","naturally"
2729,"navagation","navigation"
2730,"naviagation","navigation"
2731,"Nazereth","Nazareth"
2732,"nearbye","nearby"
2733,"neccesarily","necessarily"
2734,"neccesary","necessary"
2735,"neccessarily","necessarily"
2736,"neccessary","necessary"
2737,"necesarily","necessarily"
2738,"necesary","necessary"
2739,"need's	","	needs	"
2740,"negativley","negatively"
2741,"negativly","negatively"
2742,"negitive","negative"
2743,"negitivity","negativity"
2744,"neglible","negligible"
2745,"negligable","negligible"
2746,"negociate","negotiate"
2747,"negociation","n"
2748,"negotation","negotiation"
2749,"negotiater","negotiator"
2750,"neice","nice, niece"
2751,"neigbor","neighbour, neighbor"
2752,"neigbour","neighbour, neighbor"
2753,"neigbouring","neighbouring, neighboring"
2754,"neigbours","neighbours, neighbors"
2755,"neighboor","neighbour, neighbor"
2756,"neighbour","variant of neighbor"
2757,"neighbourhood","variant of neighborhood"
2758,"nessacary","necessary"
2759,"nessasarily","necessarily"
2760,"nessecary","necessary"
2761,"Netherland's	","	Netherlands, Netherlands'	"
2762,"nethertheless","nevertheless"
2763,"neuclear","nuclear"
2764,"neutralise","variant of neutralize"
2765,"newely","newly"
2766,"newletter","newsletter"
2767,"Newyorker","New Yorker"
2768,"Niagra Falls","Niagara Falls"
2769,"nickle","acceptable variant of nickel"
2770,"nicname","nickname"
2771,"nieghbor","neighbor"
2772,"nieghborhood","neighborhood, neighbourhood"
2773,"nieghbour","neighbour"
2774,"niether","neither"
2775,"nigth","night"
2776,"nineth","ninth"
2777,"ninethly","ninthly"
2778,"ninteen","nineteen"
2779,"ninteenth","nineteenth"
2780,"nintey","ninety"
2781,"ninties","nineties"
2782,"ninty","ninety"
2783,"nitch","niche"
2784,"nkow","know"
2785,"nkwo","know"
2786,"nomencalture","nomenclature"
2787,"non-existant","nonexistent"
2788,"nonsence","nonsense"
2789,"noone","no one"
2790,"normalise","variant of normalize"
2791,"normaly","normally"
2792,"northen","northern"
2793,"northereastern","northeastern"
2794,"northermost","northernmost"
2795,"nortoriety","notoriety"
2796,"nortorious","notorious"
2797,"Norweigan","Norwegian"
2798,"notariety","notoriety"
2799,"noteable","notable"
2800,"noteably","notably"
2801,"noteriety","notoriety"
2802,"notewothy","noteworthy"
2803,"noth","north"
2804,"nothern","northern"
2805,"noticable","noticeable"
2806,"noticably","noticeably"
2807,"noticeing","noticing"
2808,"noticible","noticeable"
2809,"notorius","notorious"
2810,"noveau","nouveau"
2811,"now adays","nowadays"
2812,"nowdays","nowadays"
2813,"nto","not"
2814,"nucular","nuclear"
2815,"nuculear","nuclear"
2816,"nuerotic","neurotic"
2817,"nuetral","neutral"
2818,"nuetrality","neutrality"
2819,"nuetralize","neutralize"
2820,"nuisanse","nuisance"
2821,"Nullabour","Nullarbor"
2822,"numberous","numerous"
2823,"nuptual","nuptial"
2824,"Nuremburg","Nuremberg"
2825,"nusance","nuisance"
2826,"nutritent","nutrient"
2827,"obcene","obscene"
2828,"obediance","obedience"
2829,"obediant","obedient"
2830,"obervation","observation"
2831,"objetive","objective"
2832,"obligue","oblige, oblique"
2833,"obligued","obliged"
2834,"observence","observance"
2835,"obsolecence","obsolescence"
2836,"obsolecense","obsolescence"
2837,"obsolesence","obsolescence"
2838,"obsolesense","obsolescence"
2839,"obssession","obsession"
2840,"obssessive","obsessive"
2841,"obstacal","obstacle"
2842,"obsticle","obstacle"
2843,"ocasion","occasion"
2844,"ocasional","occasional"
2845,"ocasionally","occasionally"
2846,"ocasionaly","occasionally"
2847,"ocasioned","occasioned"
2848,"ocasions","occasions"
2849,"ocassion","occasion"
2850,"ocassional","occasional"
2851,"ocassionally","occasionally"
2852,"ocassioned","occasioned"
2853,"ocassions","occasions"
2854,"occaisonally","occasionally"
2855,"occasionaly","occasionally"
2856,"occasonal","occasional"
2857,"occassion","occasion"
2858,"occassional","occasional"
2859,"occassionally","occasionally"
2860,"occassionaly","occasionally"
2861,"occassioned","occasioned"
2862,"occassions","occasions"
2863,"occour","occur"
2864,"occurance","occurrence"
2865,"occurances","occurrences"
2866,"occured","occurred"
2867,"occurence","occurrence"
2868,"occurences","occurrences"
2869,"occuring","occurring"
2870,"occurr","occur"
2871,"occurrance","occurrence"
2872,"occurrances","occurrences"
2873,"octohedra","octahedra"
2874,"octohedral","octahedral"
2875,"octohedron","octahedron"
2876,"ocuntry","country"
2877,"ocuntries","countries"
2878,"ocupied","occupied"
2879,"ocurr","occur"
2880,"ocurrance","occurrence"
2881,"ocurred","occurred"
2882,"ocurrence","occurrence"
2883,"ocurring","occurring"
2884,"ocurrs","occurs"
2885,"odour","variant of odor"
2886,"odouriferous","odoriferous, even in UK"
2887,"odourous","odorous, even in UK"
2888,"offcial","official"
2889,"offen","often"
2890,"offence","variant of offense"
2891,"offical","official"
2892,"offically","officially"
2893,"officaly","officially"
2894,"officialy","officially"
2895,"offshot","offshoot"
2896,"oficial","official"
2897,"oftenly","often"
2898,"oftern","often"
2899,"ofthe","of the"
2900,"oging","going, ogling"
2901,"Okalahoma","Oklahoma"
2902,"olny","only"
2903,"omision","omission"
2904,"omited","omitted"
2905,"omiting","omitting"
2906,"omitt","omit"
2907,"ommision","omission"
2908,"ommission","omission"
2909,"ommited","omitted"
2910,"ommiting","omitting"
2911,"ommitted","omitted"
2912,"ommitting","omitting"
2913,"omniverous","omnivorous"
2914,"omniverously","omnivorously"
2915,"omre","more"
2916,"onot","note, not"
2917,"onthe","on the"
2918,"ontop","on top"
2919,"onyl","only"
2920,"oparate","operate"
2921,"opend","opened"
2922,"openned","opened"
2923,"operater","operator"
2924,"opertion","operation"
2925,"opertunity","opportunity"
2926,"opinate","opine"
2927,"opon","upon"
2928,"oponent","opponent"
2929,"oportunity","opportunity"
2930,"oposite","opposite"
2931,"oposition","opposition"
2932,"oppened","opened"
2933,"oppening","opening"
2934,"opperate","operate"
2935,"opperation","operation"
2936,"oppertunity","opportunity"
2937,"oppinion","opinion"
2938,"opponet","opponent"
2939,"opportunites","opportunities"
2940,"opportunty","opportunity"
2941,"opress","oppress"
2942,"opression","oppression"
2943,"opressive","oppressive"
2944,"opthalmic","ophthalmic"
2945,"opthalmologist","ophthalmologist"
2946,"opthalmology","ophthalmology"
2947,"opthamologist","ophthalmologist"
2948,"opthamology","ophthalmology"
2949,"opthomologist","ophthalmologist"
2950,"opthomology","ophthalmology"
2951,"optomism","optimism"
2952,"optomist","optimist"
2953,"optomistic","optimistic"
2954,"orchestera","orchestra"
2955,"orgainise","organise"
2956,"orgainization","organization"
2957,"orgainize","organize"
2958,"organiation","organization"
2959,"organical","organic"
2960,"organim","organism"
2961,"organise","variant of organize"
2962,"orgin","origin, organ"
2963,"orginal","original"
2964,"orginally","originally"
2965,"orginate","originate"
2966,"orginise","organise"
2967,"orginize","organize"
2968,"orientate","British variant of orient"
2969,"orientated","variant of oriented"
2970,"origanal","original"
2971,"originaly","originally"
2972,"originial","original"
2973,"originiate","originate"
2974,"originnal","original"
2975,"originnally","originally"
2976,"origional","original"
2977,"orignal","original"
2978,"orignate","originate"
2979,"orignial","original"
2980,"origonal","original"
2981,"orthagonal","orthogonal"
2982,"orthagonally","orthogonally"
2983,"orthgonal","orthogonal"
2984,"orthogonaly","orthogonally"
2985,"OSes","OSs"
2986,"otehr","other"
2987,"othere","other"
2988,"otheres","others"
2989,"ouevre","oeuvre"
2990,"oustanding","outstanding"
2991,"oustide","outside"
2992,"outake","outtake"
2993,"outcasted","outcast"
2994,"outlaying","outlying"
2995,"outloud","out loud"
2996,"outputted","output"
2997,"outragous","outrageous"
2998,"outter","outer"
2999,"outweighted","outweighed"
3000,"overan","overran"
3001,"overated","overrated"
3002,"overeach","overreach"
3003,"overide","override"
3004,"overlayed","overlaid"
3005,"overode","overrode"
